DateTime,Website Name,URL,Status,Ping (ms),TCP Connect (ms),TLS Handshake (ms),DNS Time (ms),HTTP TTFB (ms),HTTP FirstChunk (ms),HTTP Total (ms),Redirects,Redirect Times (ms),Content Size (KB),Keyword Check,SSL Days Left,SSL Expiry Date,Probes Summary,Notes
2025-10-15T10:29:27.257086+00:00,Wildlife Anukampa,https://www.odwlanukampa.in/index.php/home/applications,Up,227.41,272.34,N/A,3.19,1458.8,5.63,0.06,0,[],Unknown,Pass,52,2025-12-06T17:57:23+00:00,"{""local_ok"": true, ""confirm_strategy"": ""all"", ""considered_down"": false}",
2025-10-15T10:29:32.250367+00:00,Odisha Bamboo,https://www.odishabamboo.org/,Up,4.38,6.86,N/A,35.57,93.79,0.33,0.09,0,[],11821,Pass,87,2026-01-10T19:33:19+00:00,"{""local_ok"": true, ""confirm_strategy"": ""all"", ""considered_down"": false}",
2025-10-15T10:29:33.217798+00:00,OFS Disposition List (HRD),https://hrd.odishaforest.in/index.php/admin/login,Up,89.38,277.63,N/A,30.46,801.82,0.4,0.03,0,[],Unknown,Pass,35,2025-11-19T22:20:58+00:00,"{""local_ok"": true, ""confirm_strategy"": ""all"", ""considered_down"": false}",
2025-10-15T10:29:36.645649+00:00,TT Permit Odisha,https://www.ttpermitodisha.in/,Up,257.7,1278.88,N/A,2.97,1281.41,0.38,0.01,0,[],Unknown,Pass,45,2025-11-30T00:03:57+00:00,"{""local_ok"": true, ""confirm_strategy"": ""all"", ""considered_down"": false}",
2025-10-15T10:29:02.850529+00:00,Forest GIS (OFMS),https://odishaforestgis.in/ofms/,Up,Failed (No Response),47.54,N/A,35.85,443.27,0.21,0.02,0,[],Unknown,Pass,74,2025-12-29T04:05:01+00:00,"{""local_ok"": true, ""confirm_strategy"": ""all"", ""considered_down"": false}",ICMP failed
2025-10-15T10:29:06.100507+00:00,Odisha Map Server,https://mapserver.odishaforestgis.in/geoserver/web/,Up,Failed (No Response),88.25,N/A,3.46,513.47,0.44,0.01,0,[],Unknown,Skipped,85,2026-01-08T11:17:41+00:00,"{""local_ok"": true, ""confirm_strategy"": ""all"", ""considered_down"": false}",ICMP failed
2025-10-15T10:29:08.933813+00:00,SMPB Odisha,https://smpbodisha.in/,Up,Failed (No Response),1360.26,N/A,3.45,1326.89,2.33,0.02,0,[],Unknown,Pass,70,2025-12-25T02:57:27+00:00,"{""local_ok"": true, ""confirm_strategy"": ""all"", ""considered_down"": false}",ICMP failed
2025-10-15T10:29:16.076648+00:00,CAMPA Odisha,https://campa.odisha.gov.in/,Up,Failed (No Response),39.42,N/A,3.44,408.99,0.44,0.01,0,[],Unknown,Pass,49,2025-12-04T04:57:50+00:00,"{""local_ok"": true, ""confirm_strategy"": ""all"", ""considered_down"": false}",ICMP failed
2025-10-15T10:29:19.201564+00:00,Kendu Leaves Portal,https://kenduleaves.odisha.gov.in/,Up,Failed (No Response),35.05,N/A,3.85,513.13,0.38,0.08,0,[],8904,Pass,34,2025-11-18T11:19:02+00:00,"{""local_ok"": true, ""confirm_strategy"": ""all"", ""considered_down"": false}",ICMP failed
2025-10-15T10:29:22.474013+00:00,Odisha Forest Main Portal,https://odishaforest.in/,Up,80.51,188.84,N/A,4.18,1317.52,997.03,0.0,0,[],Unknown,Pass,35,2025-11-19T22:20:58+00:00,"{""local_ok"": true, ""confirm_strategy"": ""all"", ""considered_down"": false}",
2025-10-15T10:29:27.630307+00:00,Wildlife Anukampa,https://www.odwlanukampa.in/index.php/home/applications,Up,101.32,241.45,N/A,3.16,1591.71,64.04,0.04,0,[],Unknown,Pass,52,2025-12-06T17:57:23+00:00,"{""local_ok"": true, ""confirm_strategy"": ""all"", ""considered_down"": false}",
2025-10-15T10:29:32.365495+00:00,Odisha Bamboo,https://www.odishabamboo.org/,Up,6.52,31.38,N/A,3.47,94.62,0.33,0.07,0,[],11821,Pass,87,2026-01-10T19:33:19+00:00,"{""local_ok"": true, ""confirm_strategy"": ""all"", ""considered_down"": false}",
2025-10-15T10:29:33.323064+00:00,OFS Disposition List (HRD),https://hrd.odishaforest.in/index.php/admin/login,Up (Slow),Failed (No Response),86.84,N/A,59.94,3029.74,0.41,0.03,0,[],Unknown,Pass,35,2025-11-19T22:20:58+00:00,"{""local_ok"": true, ""confirm_strategy"": ""all"", ""considered_down"": false}",ICMP failed; TTFB 3029.74ms > threshold 3000.0ms
2025-10-15T10:29:42.098159+00:00,TT Permit Odisha,https://www.ttpermitodisha.in/,Up,83.76,296.05,N/A,3.93,1062.0,91.33,0.03,0,[],Unknown,Pass,45,2025-11-30T00:03:57+00:00,"{""local_ok"": true, ""confirm_strategy"": ""all"", ""considered_down"": false}",
2025-10-15T10:29:28.511490+00:00,Forest GIS (OFMS),https://odishaforestgis.in/ofms/,Up,Failed (No Response),36.43,N/A,3.73,567.75,0.24,0.02,0,[],Unknown,Pass,74,2025-12-29T04:05:01+00:00,"{""local_ok"": true, ""confirm_strategy"": ""all"", ""considered_down"": false}",ICMP failed
2025-10-15T10:29:32.003353+00:00,Odisha Map Server,https://mapserver.odishaforestgis.in/geoserver/web/,Up,Failed (No Response),45.35,N/A,3.26,544.64,0.32,0.02,0,[],Unknown,Skipped,85,2026-01-08T11:17:41+00:00,"{""local_ok"": true, ""confirm_strategy"": ""all"", ""considered_down"": false}",ICMP failed
2025-10-15T10:29:34.955113+00:00,SMPB Odisha,https://smpbodisha.in/,Up,147.26,88.49,N/A,2.69,1245.65,0.58,0.01,0,[],Unknown,Pass,70,2025-12-25T02:57:27+00:00,"{""local_ok"": true, ""confirm_strategy"": ""all"", ""considered_down"": false}",
2025-10-15T10:29:43.582189+00:00,CAMPA Odisha,https://campa.odisha.gov.in/,Up,Failed (No Response),46.87,N/A,3.44,346.71,0.38,0.01,0,[],Unknown,Pass,49,2025-12-04T04:57:50+00:00,"{""local_ok"": true, ""confirm_strategy"": ""all"", ""considered_down"": false}",ICMP failed
2025-10-15T10:29:46.599856+00:00,Kendu Leaves Portal,https://kenduleaves.odisha.gov.in/,Up,Failed (No Response),70.49,N/A,3.31,469.83,0.38,0.06,0,[],8904,Pass,34,2025-11-18T11:19:02+00:00,"{""local_ok"": true, ""confirm_strategy"": ""all"", ""considered_down"": false}",ICMP failed
